year,anom
1850,-0.138
1851,-0.133
1852,-0.052
1853,0.024
1854,-0.095
1855,-0.319
1856,-0.343
1857,-0.257
1858,-0.295
1859,0.095
1860,-0.238
1861,-0.524
1862,-0.367
1863,-0.224
1864,-0.1
1865,-0.114
1866,-0.119
1867,-0.167
1868,-0.171
1869,-0.014
1870,-0.171
1871,-0.081
1872,-0.057
1873,-0.229
1874,-0.086
1875,-0.167
1876,-0.124
1877,-0.186
1878,-0.052
1879,-0.148
1880,-0.271
1881,0.014
1882,0.067
1883,-0.39
1884,-0.505
1885,-0.648
1886,-0.505
1887,-0.343
1888,-0.3
1889,-0.176
1890,-0.314
1891,-0.171
1892,-0.162
1893,-0.257
1894,-0.267
1895,-0.195
1896,-0.238
1897,-0.071
1898,-0.233
1899,-0.257
1900,-0.057
1901,-0.081
1902,-0.529
1903,-0.471
1904,-0.643
1905,-0.595
1906,-0.414
1907,-0.414
1908,-0.5
1909,-0.629
1910,-0.6
1911,-0.638
1912,-0.514
1913,-0.61
1914,-0.49
1915,-0.319
1916,-0.414
1917,-0.829
1918,-0.59
1919,-0.838
1920,-0.533
1921,-0.419
1922,-0.271
1923,-0.448
1924,-0.286
1925,-0.424
1926,-0.367
1927,-0.371
1928,-0.4
1929,-0.39
1930,-0.476
1931,-0.348
1932,-0.395
1933,-0.533
1934,-0.529
1935,-0.405
1936,-0.386
1937,-0.367
1938,-0.395
1939,-0.481
1940,-0.276
1941,-0.119
1942,-0.124
1943,0.071
1944,0.138
1945,0.071
1946,0.01
1947,-0.095
1948,-0.31
1949,-0.352
1950,-0.3
1951,-0.171
1952,-0.09
1953,-0.081
1954,-0.238
1955,-0.395
1956,-0.267
1957,-0.252
1958,-0.171
1959,-0.181
1960,-0.152
1961,-0.167
1962,-0.181
1963,-0.133
1964,-0.224
1965,-0.419
1966,-0.2
1967,-0.252
1968,-0.124
1969,0.067
1970,-0.014
1971,-0.224
1972,-0.252
1973,0.014
1974,-0.2
1975,-0.295
1976,-0.276
1977,-0.157
1978,-0.133
1979,-0.09
1980,-0.005
1981,-0.043
1982,-0.086
1983,-0.214
1984,-0.029
1985,-0.129
1986,-0.081
1987,-0.086
1988,0.186
1989,-0.029
1990,0.081
1991,0.1
1992,-0.043
1993,-0.176
1994,0.029
1995,0.243
1996,0.19
1997,-0.0
1998,0.057
1999,0.105
2000,0.167
2001,0.281
2002,0.367
2003,0.414
2004,0.39
2005,0.4
2006,0.319
2007,0.395
2008,0.181
2009,0.371
2010,0.357
2011,0.21
2012,0.29
2013,0.419
2014,0.471
2015,0.3
2016,0.59
2017,0.595
2018,0.524
2019,0.571
2020,0.61
2021,0.476
2022,0.476
2023,0.571
2024,0.733
2025,0.638
