STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,,INDICATOR,,GEO_PICT,,SEX,,AGE,,URBANIZATION,,INCOME,,EDUCATION,,OCCUPATION,,COMPOSITE_BREAKDOWN,,DISABILITY,,TIME_PERIOD,,OBS_VALUE,,UNIT_MEASURE,,REPORTING_TYPE,,NATURE,,DATA_SOURCE,,OBS_STATUS,,OBS_COMMENT,
DATAFLOW,SPC:DF_SDG_11(3.0),,I,A,,VC_DSR_AALT,,KI,,_T,,_T,,_T,,_T,,_T,,_T,,_Z,,_T,,2014,,268950,,USD,,G,,C,,United Nations Office for Disaster Risk Reduction (2021),,,,Disclaimer: the data submitted by UNISDR has been extracted from 2 sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases.,
DATAFLOW,SPC:DF_SDG_11(3.0),,I,A,,VC_DSR_AALT,,KI,,_T,,_T,,_T,,_T,,_T,,_T,,_Z,,_T,,2020,,30750,,USD,,G,,C,,United Nations Office for Disaster Risk Reduction (2021),,,,Disclaimer: the data submitted by UNISDR has been extracted from 2 sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases.,
DATAFLOW,SPC:DF_SDG_11(3.0),,I,A,,VC_DSR_AALT,,WS,,_T,,_T,,_T,,_T,,_T,,_T,,_Z,,_T,,2016,,22048411,,USD,,G,,C,,UNISDR (2018). Sendai Framework Monitor - United Nations Office for Disaster Risk Reduction,,,,,
DATAFLOW,SPC:DF_SDG_11(3.0),,I,A,,VC_DSR_AALT,,FM,,_T,,_T,,_T,,_T,,_T,,_T,,_Z,,_T,,2016,,20310000,,USD,,G,,C,,UNISDR (2018). Sendai Framework Monitor - United Nations Office for Disaster Risk Reduction,,,,,
DATAFLOW,SPC:DF_SDG_11(3.0),,I,A,,VC_DSR_AALT,,FM,,_T,,_T,,_T,,_T,,_T,,_T,,_Z,,_T,,2018,,196875,,USD,,G,,C,,United Nations Office for Disaster Risk Reduction (2021),,,,Disclaimer: the data submitted by UNISDR has been extracted from 2 sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases.,
DATAFLOW,SPC:DF_SDG_11(3.0),,I,A,,VC_DSR_AALT,,FM,,_T,,_T,,_T,,_T,,_T,,_T,,_Z,,_T,,2019,,8270325,,USD,,G,,C,,United Nations Office for Disaster Risk Reduction (2021),,,,Disclaimer: the data submitted by UNISDR has been extracted from 2 sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases.,
DATAFLOW,SPC:DF_SDG_11(3.0),,I,A,,VC_DSR_AALT,,FJ,,_T,,_T,,_T,,_T,,_T,,_T,,_Z,,_T,,2010,,24623058,,USD,,G,,C,,United Nations Office for Disaster Risk Reduction (2021),,,,Disclaimer: the data submitted by UNISDR has been extracted from 2 sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases.,
DATAFLOW,SPC:DF_SDG_11(3.0),,I,A,,VC_DSR_AALT,,FJ,,_T,,_T,,_T,,_T,,_T,,_T,,_Z,,_T,,2011,,1224504,,USD,,G,,C,,United Nations Office for Disaster Risk Reduction (2021),,,,Disclaimer: the data submitted by UNISDR has been extracted from 2 sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases.,
DATAFLOW,SPC:DF_SDG_11(3.0),,I,A,,VC_DSR_AALT,,FJ,,_T,,_T,,_T,,_T,,_T,,_T,,_Z,,_T,,2012,,141400784,,USD,,G,,C,,United Nations Office for Disaster Risk Reduction (2021),,,,Disclaimer: the data submitted by UNISDR has been extracted from 2 sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases.,
DATAFLOW,SPC:DF_SDG_11(3.0),,I,A,,VC_DSR_AALT,,FJ,,_T,,_T,,_T,,_T,,_T,,_T,,_Z,,_T,,2016,,374109863,,USD,,G,,C,,UNISDR (2018). Sendai Framework Monitor - United Nations Office for Disaster Risk Reduction,,,,Disclaimer: the data submitted by UNISDR has been extracted from 2 sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases.,
DATAFLOW,SPC:DF_SDG_11(3.0),,I,A,,VC_DSR_AALT,,FJ,,_T,,_T,,_T,,_T,,_T,,_T,,_Z,,_T,,2018,,50247780,,USD,,G,,C,,United Nations Office for Disaster Risk Reduction (2021),,,,Disclaimer: the data submitted by UNISDR has been extracted from 2 sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases.,
DATAFLOW,SPC:DF_SDG_11(3.0),,I,A,,VC_DSR_AALT,,FJ,,_T,,_T,,_T,,_T,,_T,,_T,,_Z,,_T,,2019,,1090125,,USD,,G,,C,,United Nations Office for Disaster Risk Reduction (2021),,,,Disclaimer: the data submitted by UNISDR has been extracted from 2 sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases.,
DATAFLOW,SPC:DF_SDG_11(3.0),,I,A,,VC_DSR_AALT,,FJ,,_T,,_T,,_T,,_T,,_T,,_T,,_Z,,_T,,2020,,24247724,,USD,,G,,C,,United Nations Office for Disaster Risk Reduction (2021),,,,Disclaimer: the data submitted by UNISDR has been extracted from 2 sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases.,
DATAFLOW,SPC:DF_SDG_11(3.0),,I,A,,VC_DSR_AALT,,TO,,_T,,_T,,_T,,_T,,_T,,_T,,_Z,,_T,,2010,,4676174,,USD,,G,,C,,United Nations Office for Disaster Risk Reduction (2021),,,,Disclaimer: the data submitted by UNISDR has been extracted from 2 sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases.,
DATAFLOW,SPC:DF_SDG_11(3.0),,I,A,,VC_DSR_AALT,,TO,,_T,,_T,,_T,,_T,,_T,,_T,,_Z,,_T,,2011,,1113801,,USD,,G,,C,,United Nations Office for Disaster Risk Reduction (2021),,,,Disclaimer: the data submitted by UNISDR has been extracted from 2 sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases.,
DATAFLOW,SPC:DF_SDG_11(3.0),,I,A,,VC_DSR_AALT,,TO,,_T,,_T,,_T,,_T,,_T,,_T,,_Z,,_T,,2014,,18560063,,USD,,G,,C,,United Nations Office for Disaster Risk Reduction (2021),,,,Disclaimer: the data submitted by UNISDR has been extracted from 2 sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases.,
DATAFLOW,SPC:DF_SDG_11(3.0),,I,A,,VC_DSR_AALT,,TO,,_T,,_T,,_T,,_T,,_T,,_T,,_Z,,_T,,2016,,3050475,,USD,,G,,C,,UNISDR (2018). Sendai Framework Monitor - United Nations Office for Disaster Risk Reduction,,,,Disclaimer: the data submitted by UNISDR has been extracted from 2 sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases.,
DATAFLOW,SPC:DF_SDG_11(3.0),,I,A,,VC_DSR_AALT,,TO,,_T,,_T,,_T,,_T,,_T,,_T,,_Z,,_T,,2018,,8579025,,USD,,G,,C,,United Nations Office for Disaster Risk Reduction (2021),,,,Disclaimer: the data submitted by UNISDR has been extracted from 2 sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases.,
DATAFLOW,SPC:DF_SDG_11(3.0),,I,A,,VC_DSR_AALT,,PF,,_T,,_T,,_T,,_T,,_T,,_T,,_Z,,_T,,2016,,30220000,,USD,,G,,C,,UNISDR (2018). Sendai Framework Monitor - United Nations Office for Disaster Risk Reduction,,,,,
DATAFLOW,SPC:DF_SDG_11(3.0),,I,A,,VC_DSR_AALT,,PW,,_T,,_T,,_T,,_T,,_T,,_T,,_Z,,_T,,2012,,6190257,,USD,,G,,C,,United Nations Office for Disaster Risk Reduction (2021),,,,Disclaimer: the data submitted by UNISDR has been extracted from 2 sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases.,
DATAFLOW,SPC:DF_SDG_11(3.0),,I,A,,VC_DSR_AALT,,PW,,_T,,_T,,_T,,_T,,_T,,_T,,_Z,,_T,,2016,,6,,USD_MILLIONS,,G,,C,,UNISDR (2018). Sendai Framework Monitor - United Nations Office for Disaster Risk Reduction,,,,,
DATAFLOW,SPC:DF_SDG_11(3.0),,I,A,,VC_DSR_AALT,,VU,,_T,,_T,,_T,,_T,,_T,,_T,,_Z,,_T,,2010,,3071588,,USD,,G,,C,,United Nations Office for Disaster Risk Reduction (2021),,,,Disclaimer: the data submitted by UNISDR has been extracted from 2 sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases.,
DATAFLOW,SPC:DF_SDG_11(3.0),,I,A,,VC_DSR_AALT,,VU,,_T,,_T,,_T,,_T,,_T,,_T,,_Z,,_T,,2011,,1470068,,USD,,G,,C,,United Nations Office for Disaster Risk Reduction (2021),,,,Disclaimer: the data submitted by UNISDR has been extracted from 2 sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases.,
DATAFLOW,SPC:DF_SDG_11(3.0),,I,A,,VC_DSR_AALT,,VU,,_T,,_T,,_T,,_T,,_T,,_T,,_Z,,_T,,2012,,281580,,USD,,G,,C,,United Nations Office for Disaster Risk Reduction (2021),,,,Disclaimer: the data submitted by UNISDR has been extracted from 2 sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases.,
DATAFLOW,SPC:DF_SDG_11(3.0),,I,A,,VC_DSR_AALT,,VU,,_T,,_T,,_T,,_T,,_T,,_T,,_Z,,_T,,2014,,245100,,USD,,G,,C,,United Nations Office for Disaster Risk Reduction (2021),,,,Disclaimer: the data submitted by UNISDR has been extracted from 2 sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases.,
DATAFLOW,SPC:DF_SDG_11(3.0),,I,A,,VC_DSR_AALT,,VU,,_T,,_T,,_T,,_T,,_T,,_T,,_Z,,_T,,2016,,81.7,,USD_MILLIONS,,G,,C,,UNISDR (2018). Sendai Framework Monitor - United Nations Office for Disaster Risk Reduction,,,,,
DATAFLOW,SPC:DF_SDG_11(3.0),,I,A,,VC_DSR_AALT,,VU,,_T,,_T,,_T,,_T,,_T,,_T,,_Z,,_T,,2018,,64500000,,USD,,G,,C,,United Nations Office for Disaster Risk Reduction (2021),,,,Disclaimer: the data submitted by UNISDR has been extracted from 2 sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases.,
DATAFLOW,SPC:DF_SDG_11(3.0),,I,A,,VC_DSR_AALT,,PG,,_T,,_T,,_T,,_T,,_T,,_T,,_Z,,_T,,2012,,1077375,,USD,,G,,C,,United Nations Office for Disaster Risk Reduction (2021),,,,Disclaimer: the data submitted by UNISDR has been extracted from 2 sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases.,
