STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,,INDICATOR,,GEO_PICT,,SEX,,AGE,,URBANIZATION,,INCOME,,EDUCATION,,OCCUPATION,,COMPOSITE_BREAKDOWN,,DISABILITY,,TIME_PERIOD,,OBS_VALUE,,UNIT_MEASURE,,REPORTING_TYPE,,NATURE,,DATA_SOURCE,,OBS_STATUS,,OBS_COMMENT,
DATAFLOW,SPC:DF_SDG_11(3.0),,I,A,,VC_DSR_AFFCT,,NC,,_T,,_T,,_T,,_T,,_T,,_T,,_Z,,_T,,2009,,0,,N,,G,,C,,United Nations Office for Disaster Risk Reduction (2022),,,,Obs_Value = 0;  Disclaimer: The data being submitted by UNDRR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) DesInventar disaster loss databases. Some of the data ha,
DATAFLOW,SPC:DF_SDG_11(3.0),,I,A,,VC_DSR_AFFCT,,NC,,_T,,_T,,_T,,_T,,_T,,_T,,_Z,,_T,,2011,,0,,N,,G,,C,,United Nations Office for Disaster Risk Reduction (2022),,,,Obs_Value = 0;  Disclaimer: The data being submitted by UNDRR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) DesInventar disaster loss databases. Some of the data ha,
DATAFLOW,SPC:DF_SDG_11(3.0),,I,A,,VC_DSR_AFFCT,,NC,,_T,,_T,,_T,,_T,,_T,,_T,,_Z,,_T,,2017,,4,,N,,G,,C,,United Nations Office for Disaster Risk Reduction (2022),,,,Disclaimer: The data being submitted by UNDRR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) DesInventar disaster loss databases. Some of the data has not followed a,
DATAFLOW,SPC:DF_SDG_11(3.0),,I,A,,VC_DSR_AFFCT,,NC,,_T,,_T,,_T,,_T,,_T,,_T,,_Z,,_T,,2018,,0,,N,,G,,C,,United Nations Office for Disaster Risk Reduction (2022),,,,Obs_Value = 0;  Disclaimer: The data being submitted by UNDRR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) DesInventar disaster loss databases. Some of the data ha,
DATAFLOW,SPC:DF_SDG_11(3.0),,I,A,,VC_DSR_AFFCT,,NC,,_T,,_T,,_T,,_T,,_T,,_T,,_Z,,_T,,2019,,1,,N,,G,,C,,United Nations Office for Disaster Risk Reduction (2022),,,,Disclaimer: The data being submitted by UNDRR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) DesInventar disaster loss databases. Some of the data has not followed a,
DATAFLOW,SPC:DF_SDG_11(3.0),,I,A,,VC_DSR_AFFCT,,NC,,_T,,_T,,_T,,_T,,_T,,_T,,_Z,,_T,,2020,,2,,N,,G,,C,,United Nations Office for Disaster Risk Reduction (2022),,,,Disclaimer: The data being submitted by UNDRR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) DesInventar disaster loss databases. Some of the data has not followed a,
DATAFLOW,SPC:DF_SDG_11(3.0),,I,A,,VC_DSR_AFFCT,,PG,,_T,,_T,,_T,,_T,,_T,,_T,,_Z,,_T,,2005,,2,,N,,G,,C,,United Nations Office for Disaster Risk Reduction (2025),,,,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,
DATAFLOW,SPC:DF_SDG_11(3.0),,I,A,,VC_DSR_AFFCT,,PG,,_T,,_T,,_T,,_T,,_T,,_T,,_Z,,_T,,2006,,216,,N,,G,,C,,United Nations Office for Disaster Risk Reduction (2025),,,,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,
DATAFLOW,SPC:DF_SDG_11(3.0),,I,A,,VC_DSR_AFFCT,,PG,,_T,,_T,,_T,,_T,,_T,,_T,,_Z,,_T,,2007,,56284,,N,,G,,C,,United Nations Office for Disaster Risk Reduction (2025),,,,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,
DATAFLOW,SPC:DF_SDG_11(3.0),,I,A,,VC_DSR_AFFCT,,PG,,_T,,_T,,_T,,_T,,_T,,_T,,_Z,,_T,,2008,,36393,,N,,G,,C,,United Nations Office for Disaster Risk Reduction (2025),,,,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,
DATAFLOW,SPC:DF_SDG_11(3.0),,I,A,,VC_DSR_AFFCT,,PG,,_T,,_T,,_T,,_T,,_T,,_T,,_Z,,_T,,2009,,580,,N,,G,,C,,United Nations Office for Disaster Risk Reduction (2025),,,,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,
DATAFLOW,SPC:DF_SDG_11(3.0),,I,A,,VC_DSR_AFFCT,,PG,,_T,,_T,,_T,,_T,,_T,,_T,,_Z,,_T,,2010,,0,,N,,G,,C,,United Nations Office for Disaster Risk Reduction (2023),,,,Disclaimer: the data being submitted by UNDRR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases. Some of the data has not followed a,
DATAFLOW,SPC:DF_SDG_11(3.0),,I,A,,VC_DSR_AFFCT,,PG,,_T,,_T,,_T,,_T,,_T,,_T,,_Z,,_T,,2011,,0,,N,,G,,C,,United Nations Office for Disaster Risk Reduction (2023),,,,Disclaimer: the data being submitted by UNDRR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases. Some of the data has not followed a,
DATAFLOW,SPC:DF_SDG_11(3.0),,I,A,,VC_DSR_AFFCT,,PG,,_T,,_T,,_T,,_T,,_T,,_T,,_Z,,_T,,2012,,172,,N,,G,,C,,United Nations Office for Disaster Risk Reduction (2025),,,,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,
DATAFLOW,SPC:DF_SDG_11(3.0),,I,A,,VC_DSR_AFFCT,,PG,,_T,,_T,,_T,,_T,,_T,,_T,,_Z,,_T,,2013,,264,,N,,G,,C,,United Nations Office for Disaster Risk Reduction (2025),,,,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,
DATAFLOW,SPC:DF_SDG_11(3.0),,I,A,,VC_DSR_AFFCT,,PG,,_T,,_T,,_T,,_T,,_T,,_T,,_Z,,_T,,2014,,0,,N,,G,,C,,United Nations Office for Disaster Risk Reduction (2023),,,,Disclaimer: the data being submitted by UNDRR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases. Some of the data has not followed a,
DATAFLOW,SPC:DF_SDG_11(3.0),,I,A,,VC_DSR_AFFCT,,PG,,_T,,_T,,_T,,_T,,_T,,_T,,_Z,,_T,,2015,,0,,N,,G,,C,,United Nations Office for Disaster Risk Reduction (2023),,,,Disclaimer: the data being submitted by UNDRR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases. Some of the data has not followed a,
DATAFLOW,SPC:DF_SDG_11(3.0),,I,A,,VC_DSR_AFFCT,,PG,,_T,,_T,,_T,,_T,,_T,,_T,,_Z,,_T,,2019,,2100,,N,,G,,C,,United Nations Office for Disaster Risk Reduction (2025),,,,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,
DATAFLOW,SPC:DF_SDG_11(3.0),,I,A,,VC_DSR_AFFCT,,PG,,_T,,_T,,_T,,_T,,_T,,_T,,_Z,,_T,,2020,,3297,,N,,G,,C,,United Nations Office for Disaster Risk Reduction (2025),,,,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,
DATAFLOW,SPC:DF_SDG_11(3.0),,I,A,,VC_DSR_AFFCT,,WF,,_T,,_T,,_T,,_T,,_T,,_T,,_Z,,_T,,2020,,0,,N,,G,,C,,United Nations Office for Disaster Risk Reduction (2022),,,,Obs_Value = 0;  Disclaimer: The data being submitted by UNDRR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) DesInventar disaster loss databases. Some of the data ha,
DATAFLOW,SPC:DF_SDG_11(3.0),,I,A,,VC_DSR_AFFCT,,NU,,_T,,_T,,_T,,_T,,_T,,_T,,_Z,,_T,,2012,,0,,N,,G,,C,,United Nations Office for Disaster Risk Reduction (2022),,,,Obs_Value = 0;  Disclaimer: The data being submitted by UNDRR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) DesInventar disaster loss databases. Some of the data ha,
DATAFLOW,SPC:DF_SDG_11(3.0),,I,A,,VC_DSR_AFFCT,,NU,,_T,,_T,,_T,,_T,,_T,,_T,,_Z,,_T,,2020,,0,,N,,G,,C,,United Nations Office for Disaster Risk Reduction (2022),,,,Obs_Value = 0;  Disclaimer: The data being submitted by UNDRR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) DesInventar disaster loss databases. Some of the data ha,
DATAFLOW,SPC:DF_SDG_11(3.0),,I,A,,VC_DSR_AFFCT,,WS,,_T,,_T,,_T,,_T,,_T,,_T,,_Z,,_T,,2005,,0,,N,,G,,C,,United Nations Office for Disaster Risk Reduction (2023),,,,Disclaimer: the data being submitted by UNDRR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases. Some of the data has not followed a,
DATAFLOW,SPC:DF_SDG_11(3.0),,I,A,,VC_DSR_AFFCT,,WS,,_T,,_T,,_T,,_T,,_T,,_T,,_Z,,_T,,2006,,0,,N,,G,,C,,United Nations Office for Disaster Risk Reduction (2023),,,,Disclaimer: the data being submitted by UNDRR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases. Some of the data has not followed a,
DATAFLOW,SPC:DF_SDG_11(3.0),,I,A,,VC_DSR_AFFCT,,WS,,_T,,_T,,_T,,_T,,_T,,_T,,_Z,,_T,,2008,,0,,N,,G,,C,,United Nations Office for Disaster Risk Reduction (2023),,,,Disclaimer: the data being submitted by UNDRR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases. Some of the data has not followed a,
DATAFLOW,SPC:DF_SDG_11(3.0),,I,A,,VC_DSR_AFFCT,,WS,,_T,,_T,,_T,,_T,,_T,,_T,,_Z,,_T,,2009,,6332,,N,,G,,C,,United Nations Office for Disaster Risk Reduction (2025),,,,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,
DATAFLOW,SPC:DF_SDG_11(3.0),,I,A,,VC_DSR_AFFCT,,WS,,_T,,_T,,_T,,_T,,_T,,_T,,_Z,,_T,,2012,,0,,N,,G,,C,,United Nations Office for Disaster Risk Reduction (2023),,,,Disclaimer: the data being submitted by UNDRR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases. Some of the data has not followed a,
DATAFLOW,SPC:DF_SDG_11(3.0),,I,A,,VC_DSR_AFFCT,,WS,,_T,,_T,,_T,,_T,,_T,,_T,,_Z,,_T,,2013,,0,,N,,G,,C,,United Nations Office for Disaster Risk Reduction (2023),,,,Disclaimer: the data being submitted by UNDRR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases. Some of the data has not followed a,
DATAFLOW,SPC:DF_SDG_11(3.0),,I,A,,VC_DSR_AFFCT,,WS,,_T,,_T,,_T,,_T,,_T,,_T,,_Z,,_T,,2014,,0,,N,,G,,C,,United Nations Office for Disaster Risk Reduction (2023),,,,Disclaimer: the data being submitted by UNDRR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases. Some of the data has not followed a,
DATAFLOW,SPC:DF_SDG_11(3.0),,I,A,,VC_DSR_AFFCT,,WS,,_T,,_T,,_T,,_T,,_T,,_T,,_Z,,_T,,2015,,0,,N,,G,,C,,United Nations Office for Disaster Risk Reduction (2023),,,,Disclaimer: the data being submitted by UNDRR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases. Some of the data has not followed a,
DATAFLOW,SPC:DF_SDG_11(3.0),,I,A,,VC_DSR_AFFCT,,WS,,_T,,_T,,_T,,_T,,_T,,_T,,_Z,,_T,,2016,,0,,N,,G,,C,,United Nations Office for Disaster Risk Reduction (2023),,,,Disclaimer: the data being submitted by UNDRR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases. Some of the data has not followed a,
DATAFLOW,SPC:DF_SDG_11(3.0),,I,A,,VC_DSR_AFFCT,,WS,,_T,,_T,,_T,,_T,,_T,,_T,,_Z,,_T,,2018,,383,,N,,G,,C,,United Nations Office for Disaster Risk Reduction (2022),,,,Disclaimer: The data being submitted by UNDRR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) DesInventar disaster loss databases. Some of the data has not followed a,
DATAFLOW,SPC:DF_SDG_11(3.0),,I,A,,VC_DSR_AFFCT,,WS,,_T,,_T,,_T,,_T,,_T,,_T,,_Z,,_T,,2019,,5700,,N,,G,,C,,United Nations Office for Disaster Risk Reduction (2025),,,,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,
DATAFLOW,SPC:DF_SDG_11(3.0),,I,A,,VC_DSR_AFFCT,,WS,,_T,,_T,,_T,,_T,,_T,,_T,,_Z,,_T,,2020,,195,,N,,G,,C,,United Nations Office for Disaster Risk Reduction (2025),,,,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,
DATAFLOW,SPC:DF_SDG_11(3.0),,I,A,,VC_DSR_AFFCT,,WS,,_T,,_T,,_T,,_T,,_T,,_T,,_Z,,_T,,2021,,15,,N,,G,,C,,United Nations Office for Disaster Risk Reduction (2025),,,,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,
