iso3,country,year,population
ASM,American Samoa,1950,19043
ASM,American Samoa,1951,19425
ASM,American Samoa,1952,19553
ASM,American Samoa,1953,19666
ASM,American Samoa,1954,19759
ASM,American Samoa,1955,19858
ASM,American Samoa,1956,19936
ASM,American Samoa,1957,19958
ASM,American Samoa,1958,19930
ASM,American Samoa,1959,19909
ASM,American Samoa,1960,20133
ASM,American Samoa,1961,20666
ASM,American Samoa,1962,21298
ASM,American Samoa,1963,21966
ASM,American Samoa,1964,22673
ASM,American Samoa,1965,23406
ASM,American Samoa,1966,24136
ASM,American Samoa,1967,24863
ASM,American Samoa,1968,25614
ASM,American Samoa,1969,26375
ASM,American Samoa,1970,27026
ASM,American Samoa,1971,27533
ASM,American Samoa,1972,27995
ASM,American Samoa,1973,28436
ASM,American Samoa,1974,28875
ASM,American Samoa,1975,29390
ASM,American Samoa,1976,29959
ASM,American Samoa,1977,30521
ASM,American Samoa,1978,31076
ASM,American Samoa,1979,31611
ASM,American Samoa,1980,32403
ASM,American Samoa,1981,33584
ASM,American Samoa,1982,34909
ASM,American Samoa,1983,36271
ASM,American Samoa,1984,37667
ASM,American Samoa,1985,39103
ASM,American Samoa,1986,40571
ASM,American Samoa,1987,42072
ASM,American Samoa,1988,43615
ASM,American Samoa,1989,45191
ASM,American Samoa,1990,46640
ASM,American Samoa,1991,47882
ASM,American Samoa,1992,49038
ASM,American Samoa,1993,50159
ASM,American Samoa,1994,51251
ASM,American Samoa,1995,52316
ASM,American Samoa,1996,53353
ASM,American Samoa,1997,54362
ASM,American Samoa,1998,55334
ASM,American Samoa,1999,56248
ASM,American Samoa,2000,56855
ASM,American Samoa,2001,57053
ASM,American Samoa,2002,57062
ASM,American Samoa,2003,56971
ASM,American Samoa,2004,56818
ASM,American Samoa,2005,56617
ASM,American Samoa,2006,56374
ASM,American Samoa,2007,56113
ASM,American Samoa,2008,55828
ASM,American Samoa,2009,55528
ASM,American Samoa,2010,55228
ASM,American Samoa,2011,54895
ASM,American Samoa,2012,54489
ASM,American Samoa,2013,54006
ASM,American Samoa,2014,53466
ASM,American Samoa,2015,52878
ASM,American Samoa,2016,52245
ASM,American Samoa,2017,51586
ASM,American Samoa,2018,50908
ASM,American Samoa,2019,50209
ASM,American Samoa,2020,49761
ASM,American Samoa,2021,49225
ASM,American Samoa,2022,48342
ASM,American Samoa,2023,47521
COK,Cook Islands,1950,14693
COK,Cook Islands,1951,15054
COK,Cook Islands,1952,15339
COK,Cook Islands,1953,15608
COK,Cook Islands,1954,15887
COK,Cook Islands,1955,16168
COK,Cook Islands,1956,16433
COK,Cook Islands,1957,16687
COK,Cook Islands,1958,16968
COK,Cook Islands,1959,17293
COK,Cook Islands,1960,17662
COK,Cook Islands,1961,18038
COK,Cook Islands,1962,18284
COK,Cook Islands,1963,18422
COK,Cook Islands,1964,18585
COK,Cook Islands,1965,18779
COK,Cook Islands,1966,19015
COK,Cook Islands,1967,19326
COK,Cook Islands,1968,19693
COK,Cook Islands,1969,20081
COK,Cook Islands,1970,20488
COK,Cook Islands,1971,20869
COK,Cook Islands,1972,20770
COK,Cook Islands,1973,20188
COK,Cook Islands,1974,19558
COK,Cook Islands,1975,18896
COK,Cook Islands,1976,18248
COK,Cook Islands,1977,17910
COK,Cook Islands,1978,17849
COK,Cook Islands,1979,17778
COK,Cook Islands,1980,17697
COK,Cook Islands,1981,17605
COK,Cook Islands,1982,17471
COK,Cook Islands,1983,17279
COK,Cook Islands,1984,17063
COK,Cook Islands,1985,16832
COK,Cook Islands,1986,16602
COK,Cook Islands,1987,16578
COK,Cook Islands,1988,16753
COK,Cook Islands,1989,16931
COK,Cook Islands,1990,17120
COK,Cook Islands,1991,17309
COK,Cook Islands,1992,17471
COK,Cook Islands,1993,17591
COK,Cook Islands,1994,17689
COK,Cook Islands,1995,17781
COK,Cook Islands,1996,17855
COK,Cook Islands,1997,17622
COK,Cook Islands,1998,17079
COK,Cook Islands,1999,16483
COK,Cook Islands,2000,15854
COK,Cook Islands,2001,15235
COK,Cook Islands,2002,14967
COK,Cook Islands,2003,15027
COK,Cook Islands,2004,15078
COK,Cook Islands,2005,15132
COK,Cook Islands,2006,15206
COK,Cook Islands,2007,15495
COK,Cook Islands,2008,15981
COK,Cook Islands,2009,16475
COK,Cook Islands,2010,16976
COK,Cook Islands,2011,17455
COK,Cook Islands,2012,17661
COK,Cook Islands,2013,17605
COK,Cook Islands,2014,17532
COK,Cook Islands,2015,17446
COK,Cook Islands,2016,17332
COK,Cook Islands,2017,17047
